0,11.0
1,21.0
2,36.0
3,43.0
4,36.0
5,21.0
6,16.0
7,31.0
8,79.0
9,150.0
10,185.0
11,155.0
12,103.0
13,30.0
14,79.0
15,150.0
16,185.0
17,150.0
18,81.0
19,45.0
20,84.0
21,230.0
22,443.0
23,554.0
24,458.0
25,303.0
26,79.0
27,230.0
28,443.0
29,552.0
30,443.0
31,234.0
32,109.0
33,167.0
34,449.0
35,863.0
36,1078.0
37,890.0
38,587.0
39,150.0
40,443.0
41,858.0
42,1070.0
43,858.0
44,449.0
45,192.0
46,230.0
47,586.0
48,1107.0
49,1370.0
50,1123.0
51,741.0
52,185.0
53,552.0
54,1070.0
55,1337.0
56,1074.0
57,566.0
58,243.0
59,262.0
60,592.0
61,1037.0
62,1218.0
63,966.0
64,635.0
65,150.0
66,444.0
67,863.0
68,1085.0
69,890.0
70,497.0
71,268.0
72,348.0
73,676.0
74,990.0
75,993.0
76,697.0
77,449.0
78,79.0
79,235.0
80,467.0
81,625.0
82,591.0
83,439.0
84,372.0
85,555.0
86,957.0
87,1219.0
88,1041.0
89,622.0
90,391.0
91,32.0
92,94.0
93,223.0
94,409.0
95,592.0
96,662.0
97,647.0
98,786.0
99,1158.0
100,1380.0
101,1114.0
102,620.0
103,384.0
104,15.0
105,51.0
106,180.0
107,480.0
108,892.0
109,1115.0
110,1007.0
111,881.0
112,1004.0
113,1104.0
114,871.0
115,477.0
116,296.0
117,11.0
118,45.0
119,189.0
120,557.0
121,1076.0
122,1352.0
123,1143.0
124,776.0
125,622.0
126,589.0
127,450.0
128,245.0
129,152.0
130,10.0
131,36.0
132,150.0
133,443.0
134,858.0
135,1075.0
136,882.0
137,516.0
138,294.0
139,215.0
140,154.0
141,84.0
142,54.0
143,8.0
144,21.0
145,79.0
146,230.0
147,443.0
148,553.0
149,448.0
150,245.0
151,109.0
152,58.0
153,38.0
154,22.0
155,16.0
156,6.0
157,11.0
158,30.0
159,79.0
160,150.0
161,185.0
162,150.0
163,81.0
164,34.0
165,16.0
166,10.0
167,8.0
168,6.0
169,6.0
170,7.0
171,11.0
172,21.0
173,36.0
174,43.0
175,36.0
176,21.0
177,11.0
178,7.0
179,6.0
180,6.0
181,6.0
182,6.0
183,6.0
184,6.0
185,8.0
186,10.0
187,11.0
188,10.0
189,8.0
190,6.0
191,6.0
192,6.0
193,6.0
194,6.0
195,6.0
196,6.0
197,6.0
198,6.0
199,6.0
200,6.0
201,6.0
202,6.0
203,6.0
204,6.0
205,6.0
206,6.0
207,6.0
208,6.0
209,6.0
210,6.0
211,6.0
212,6.0
213,6.0
214,6.0
215,6.0
216,6.0
217,6.0
218,6.0
219,6.0
220,6.0
